#,This,file,was,produced,by,the,NASA,Exoplanet,Archive,,http://exoplanetarchive.ipac.caltech.edu,
#,Sun,Sep,19,09:21:02,2021,,,,,,,
#,,,,,,,,,,,,
#,User,ID:,,,,,,,,,clebersilva,
#,,,,,,,,,,,,
#,User,preference:,archive,defaults,,,,,,,,
#,,,,,,,,,,,,
#,COLUMN,kepid:,,,,,,,,,,KepID
#,COLUMN,tce_plnt_num:,,,Planet,Number,,,,,,
#,COLUMN,tcet_period:,,,,Orbital,Period,[days],,,,
#,COLUMN,tcet_period_err:,Orbital,Period,Unc.,[days],,,,,,
#,COLUMN,tcet_time0bk:,,,Transit,Epoch,[BKJD],,,,,
#,COLUMN,tcet_time0bk_err:,Transit,Epoch,Unc.,[BKJD],,,,,,
#,COLUMN,tcet_duration:,,Transit,Duration,[hrs],,,,,,
#,COLUMN,tcet_duration_err:,Transit,Duration,Unc.,[hrs],,,,,,
#,COLUMN,av_training_set:,Autovetter,Training,Set,Label,,,,,,
#,,,,,,,,,,,,
rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set,,,
79,2855680,1,1.693380,1.689840000e-05,132158,4.641990000e-03,5.2730,2.7100000e+00,UNK,,,
80,2855680,2,0.564462,1.037590000e-05,131546,3.843510000e-03,3.5320,1.2890000e+01,UNK,,,
81,2856756,1,0.641049,4.820080000e-06,131645,1.574760000e-03,1.8910,3.6180000e-01,AFP,,,
82,2857323,2,0.548762,7.351060000e-06,131962,1.677910000e-03,1.3420,3.4540000e-01,AFP,,,
83,2857607,1,41.866800,4.652510000e-04,147006,9.379320000e-03,5.6560,1.0670000e+00,PC,,,
84,2857722,1,0.630084,1.109680000e-05,132139,1.874640000e-03,1.1100,1.7640000e-01,AFP,,,
85,2857722,2,0.630087,1.199560000e-05,131709,1.729800000e-03,0.8888,8.5220000e-02,AFP,,,
86,2860114,1,0.941598,1.987870000e-06,132037,3.580800000e-04,0.9807,2.7710000e-02,AFP,,,
87,2860594,1,5.499940,1.712050000e-07,132816,2.647460000e-05,10.0800,1.4570000e-03,AFP,,,
88,2860594,2,2.749970,4.210520000e-07,132819,1.092190000e-04,9.1210,3.3210000e-03,UNK,,,
89,2860594,3,5.500260,2.111290000e-05,136528,2.810980000e-03,15.2400,8.5180000e-01,AFP,,,
90,2860594,4,5.500120,0.000000000e+00,134535,0.000000000e+00,15.0000,0.0000000e+00,AFP,,,
91,2307199,2,13.445700,2.452720000e-04,133221,1.855240000e-02,21.5300,1.3740000e+00,AFP,,,
92,2860851,1,1.196760,1.601530000e-05,132024,8.720640000e-03,1.6560,2.4850000e-01,AFP,,,
93,2860851,2,1.196860,1.374750000e-05,132548,7.537550000e-03,1.8000,1.0170000e-01,AFP,,,
94,2439798,1,459.313000,1.164140000e-02,260216,1.116170000e-02,2.5870,2.3080000e+00,NTP,,,
95,2969628,2,1.973630,9.979780000e-06,131957,2.207170000e-03,1.9050,7.1070000e-02,AFP,,,
96,2969628,3,1.973630,1.543250000e-05,132653,3.028410000e-03,1.7890,9.9880000e-02,AFP,,,
